,C1,C2,C3,C4,C5,C6
R1,0.16,0.00,0.03,0.30,0.50,0.00
R2,0.26,0.13,0.01,0.06,0.08,0.47
R3,0.52,0.17,0.00,0.10,0.22,0.00
R4,0.21,0.32,0.26,0.08,0.01,0.11
R5,0.09,0.39,0.21,0.22,0.00,0.09
RN,0.00,0.00,0.00,0.00,0.00,0.00
