,C1,C2,C3,C4,C5,C6
R1,0.08,0.18,0.00,0.25,0.24,0.26
R2,0.86,0.07,0.00,0.06,0.00,0.02
R3,0.54,0.03,0.36,0.06,0.02,0.00
R4,0.00,0.96,0.00,0.04,0.00,0.00
R5,0.00,0.92,0.00,0.00,0.00,0.08
RN,0.00,0.00,0.00,0.00,0.00,0.00
