,C1,C2,C3,C4,C5,C6
R1,0.00,1.00,0.00,0.00,0.00,0.00
R2,0.05,0.22,0.09,0.48,0.09,0.07
R3,0.16,0.20,0.25,0.09,0.06,0.23
R4,0.00,0.10,0.59,0.26,0.00,0.05
R5,0.00,0.00,0.00,0.00,1.00,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
