,C1,C2,C3,C4,C5,C6
R1,0.11,0.01,0.50,0.03,0.29,0.05
R2,0.13,0.45,0.19,0.06,0.11,0.05
R3,0.00,0.02,0.11,0.13,0.21,0.54
R4,0.31,0.02,0.04,0.13,0.51,0.00
R5,0.13,0.00,0.10,0.44,0.27,0.05
RN,0.00,0.00,0.00,0.00,0.00,0.00
