,C1,C2,C3,C4,C5,C6
R1,0.61,0.00,0.39,0.00,0.00,0.00
R2,0.00,0.00,0.00,0.91,0.00,0.09
R3,0.00,0.00,0.00,0.38,0.00,0.62
R4,0.00,1.00,0.00,0.00,0.00,0.00
R5,0.00,0.00,0.00,0.31,0.69,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
