,C1,C2,C3,C4,C5,C6
R1,0.05,0.00,0.63,0.00,0.33,0.00
R2,0.10,0.73,0.00,0.13,0.05,0.00
R3,0.00,0.10,0.00,0.00,0.90,0.00
R4,0.15,0.00,0.00,0.00,0.00,0.85
R5,1.00,0.00,0.00,0.00,0.00,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
