,C1,C2,C3,C4,C5,C6
R1,0.04,0.22,0.15,0.27,0.18,0.13
R2,0.00,0.64,0.00,0.05,0.16,0.15
R3,0.31,0.26,0.09,0.14,0.00,0.20
R4,0.22,0.47,0.19,0.10,0.00,0.02
R5,0.06,0.38,0.04,0.40,0.00,0.11
RN,0.00,0.00,0.00,0.00,0.00,0.00
