,C1,C2,C3,C4,C5,C6
R1,0.48,0.04,0.32,0.10,0.00,0.06
R2,0.54,0.11,0.24,0.05,0.06,0.00
R3,0.28,0.19,0.49,0.00,0.00,0.04
R4,0.27,0.18,0.19,0.36,0.00,0.00
R5,0.19,0.14,0.28,0.00,0.22,0.17
RN,0.00,0.00,0.00,0.00,0.00,0.00
