,C1,C2,C3,C4,C5,C6
R1,0.07,0.30,0.23,0.35,0.00,0.05
R2,0.06,0.06,0.00,0.83,0.05,0.00
R3,0.27,0.18,0.33,0.05,0.16,0.00
R4,0.00,0.00,0.00,0.00,0.00,1.00
R5,0.14,0.00,0.00,0.54,0.00,0.32
RN,0.00,0.00,0.00,0.00,0.00,0.00
