,C1,C2,C3,C4,C5,C6
R1,1.00,0.00,0.00,0.00,0.00,0.00
R2,0.81,0.00,0.00,0.00,0.00,0.19
R3,0.00,0.67,0.33,0.00,0.00,0.00
R4,0.23,0.28,0.00,0.00,0.49,0.00
R5,0.00,0.00,0.00,1.00,0.00,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
