,C1,C2,C3,C4,C5,C6
R1,0.00,0.85,0.08,0.02,0.00,0.05
R2,0.00,0.00,0.67,0.00,0.00,0.33
R3,0.81,0.00,0.00,0.19,0.00,0.00
R4,0.11,0.26,0.00,0.14,0.05,0.44
R5,0.04,0.41,0.25,0.00,0.12,0.18
RN,0.00,0.00,0.00,0.00,0.00,0.00
