,C1,C2,C3,C4,C5,C6
R1,0.38,0.00,0.29,0.34,0.00,0.00
R2,0.00,0.97,0.00,0.00,0.03,0.00
R3,0.03,0.00,0.00,0.00,0.00,0.97
R4,0.00,1.00,0.00,0.00,0.00,0.00
R5,0.07,0.93,0.00,0.00,0.00,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
