,C1,C2,C3,C4,C5,C6
R1,0.00,0.89,0.00,0.00,0.00,0.11
R2,0.35,0.00,0.00,0.00,0.00,0.65
R3,0.00,0.00,0.00,1.00,0.00,0.00
R4,0.77,0.00,0.00,0.22,0.01,0.00
R5,0.35,0.00,0.00,0.65,0.00,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
