,C1,C2,C3,C4,C5,C6
R1,0.00,0.03,0.62,0.00,0.13,0.22
R2,0.34,0.13,0.00,0.00,0.53,0.00
R3,0.00,0.00,0.77,0.23,0.00,0.00
R4,0.02,0.12,0.23,0.01,0.00,0.61
R5,0.02,0.28,0.04,0.12,0.25,0.28
RN,0.00,0.00,0.00,0.00,0.00,0.00
